"","BROKEN","CAMPASPE","DUMARESQ","EDWARD-WAKOOL","GINGHAM","GOULBURN","GUNBOWER","GWYDIR","L_MURRAY","LODDON_PYRAMID","LOWER_DARLING","MACINTYRE","MACQUARIE","MULLAROO_LINDSAY","MURRAY-Barmah","MURRAY-dsYarrawonga","MURRAY-mid","MURRUMBIDGEE","SEVERN","UPPER_DARLING","WIMMERA"
"X14987.65..",0.2826,0.1284,0.1491,0.0909,0.04,0.1828,0.2947,0.2056,0.05,0.2308,0.0333,0.1842,0.2397,0.1978,0.4333,0.2293,0.2313,0.166,0,0.1264,0.1265
"X15075.14..",0,0,0,0.1,0,0,0,0.1299,0.0974,0.037,0,0.05,0,0,0,0.037,0.0147,0,0,0.0655,0.0476
"X15197.42..",0,0.0278,0.0526,0,0.04,0.0998,0.0526,0.0455,0,0.037,0.0333,0.05,0.0962,0,0,0,0.0292,0,0.0909,0.0333,0.0476
"X15605.9..",0.4417,0.3937,0.5205,0.5091,0.4837,0.4644,0.5132,0.5087,0.4632,0.4644,0.4874,0.4658,0.4353,0.3077,0.5,0.4858,0.4818,0.4765,0.5273,0.5046,0.5059
"X15705.65..",0,0,0,0.0909,0.1196,0.0655,0,0.1299,0.1842,0.037,0.1552,0.1421,0.0731,0.2033,0,0.037,0.0575,0.1215,0.0909,0.0966,0.0887
"X16943.53..",0.5108,0.3273,0.4181,0.5139,0.4867,0.5023,0.3977,0.3831,0.4474,0.4185,0.2167,0.2263,0.4449,0.4545,0.4,0.5067,0.3924,0.4439,0.4455,0.4088,0.4415
"X16984.33..",0.471,0.5084,0.4942,0.4818,0.4883,0.4076,0.4526,0.4567,0.3263,0.505,0.4391,0.5058,0.4744,0.3022,0.5,0.453,0.4815,0.3067,0.5091,0.5071,0.4348
"X17054.53..",0.419,0.3366,0.5175,0.4722,0.3312,0.3717,0.4412,0.3074,0.3263,0.39,0.4052,0.3263,0.2583,0.4505,0.45,0.4185,0.3848,0.3986,0.4667,0.406,0.2605
"X17428.10..",0.48,0.488,0.5088,0.2455,0.4417,0.5,0.45,0.303,0.3316,0.5028,0.4402,0.3842,0.3538,0.2033,0.3,0.406,0.4188,0.4649,0.4091,0.4138,0.5099
"X17967.50..",0.1196,0.0788,0.1491,0.2667,0.3822,0.1828,0.1023,0.303,0.1447,0.2293,0.0966,0.3289,0.2212,0.1978,0,0.1396,0.1978,0.1862,0.0909,0.1828,0.0974
"X18265.10..",0.215,0.1959,0,0.1727,0.04,0.1828,0.1421,0.0887,0.1868,0.1396,0.0966,0.1447,0.1404,0.0714,0.1667,0.1709,0.2421,0.1693,0.0909,0.0655,0.0435
"X18654.30..",0.3735,0.5008,0.2451,0.5333,0.5079,0.4921,0.4921,0.5143,0.5029,0.51,0.4931,0.5117,0.5077,0.478,0.5,0.4917,0.4866,0.5032,0.5179,0.5062,0.513
"X19407.54..",0,0.027,0,0,0,0.0333,0.05,0,0.05,0,0,0.05,0.025,0,0.1667,0,0.0147,0.0506,0.0909,0.0655,0
"X19626.12..",0.115,0.3244,0.193,0.4091,0.2733,0.2586,0.2632,0.3571,0.1421,0.4231,0.2586,0.1868,0.3538,0.1978,0.3333,0.2009,0.273,0.3506,0.0909,0.2816,0.3478
"X19702.49..",0.0815,0,0,0.1727,0,0.0333,0.05,0.1299,0.0974,0.037,0.0966,0,0.0962,0,0,0,0.0575,0.0256,0.1727,0.1264,0
"X19904.65..",0.1902,0.1036,0.1491,0.2455,0.2925,0.1563,0.1842,0.2056,0.0974,0.1709,0.1276,0.3316,0.0962,0.1978,0,0.2009,0.1497,0.2065,0.2455,0.3264,0.2312
"X19962.27..",0.04,0,0,0,0,0,0,0.0455,0,0.0726,0,0,0.0494,0,0,0.1068,0.0147,0.0749,0,0,0.0435
"X20121.21..",0.0417,0.0286,0.3684,0.2455,0.1245,0.1828,0.1421,0.1299,0.2974,0.1396,0.1552,0.1842,0.1615,0.2033,0,0.0726,0.1497,0.101,0.0909,0.1264,0.164
"X20366.11..",0.35,0.256,0.2339,0.2455,0.3,0.2828,0.2632,0.2749,0.2605,0.2821,0.2345,0.1842,0.3667,0.3846,0.1667,0.2821,0.2928,0.3603,0.1727,0.1563,0.4783
"X20571.59..",0.2228,0.217,0.1023,0.3091,0.245,0.0701,0.1023,0.4048,0.1842,0.1068,0.2092,0.3579,0.1186,0.1374,0,0.1709,0.1978,0.2072,0.2545,0.2894,0.0974
"X20843.52..",0.4632,0.4527,0.4006,0.5,0.51,0.395,0.4301,0.461,0.4921,0.502,0.3839,0.3579,0.3519,0.5076,0.5833,0.463,0.4849,0.4397,0.4444,0.5057,0.5
"X20928.9..",0,0,0.0526,0,0.0783,0,0.05,0.0455,0.0974,0.037,0,0.1421,0,0.1374,0,0,0.0435,0,0,0.0966,0
"X21041.29..",0.4004,0.45,0.4386,0.4091,0.4842,0.3632,0.5026,0.474,0.4763,0.3077,0.5,0.4766,0.4532,0.5165,0.4,0.4658,0.4855,0.4708,0.4455,0.4862,0.3868
"X21262.65..",0,0.0278,0,0,0.04,0.0417,0,0.0455,0.05,0.0417,0.0655,0.0974,0.025,0.0769,0,0.0726,0.0305,0.0768,0,0.0345,0.0526
"X21687.59..",0.15,0.2958,0.0526,0.0909,0.115,0.1264,0.1842,0.2727,0.0974,0.037,0.1563,0.2237,0.0731,0.3022,0.2,0.1068,0.1245,0.0749,0.1727,0.0966,0
"X23567.62..",0,0,0,0,0,0,0.0556,0.0455,0.05,0,0.0333,0,0,0.0714,0,0.0385,0.0592,0.0506,0,0,0
"X23807.51..",0.04,0.1284,0.1023,0.1818,0.245,0.1264,0.1868,0.1299,0.1842,0.2009,0.2092,0.2263,0.1186,0.1978,0,0.0726,0.1859,0.1906,0.3091,0.0655,0.2628
"X24074.16..",0.3933,0.4602,0.2749,0.3182,0.4308,0.4264,0.307,0.3929,0.3289,0.4031,0.4264,0.3553,0.3237,0.3901,0.4167,0.3063,0.328,0.3293,0.2455,0.3522,0.4667
"X24728.37..",0,0.1132,0,0,0,0.0435,0,0,0.1842,0,0.1552,0.1421,0.025,0,0,0,0.0887,0.0263,0,0.0966,0
"X25011.21..",0.3717,0.0533,0.4386,0.2455,0.2767,0.3034,0.2263,0.2424,0.4105,0.3732,0.3069,0.2237,0.259,0.3077,0.3,0.4245,0.2926,0.3583,0.4182,0.4414,0.3913
"X25124.43..",0.15,0.027,0,0,0.04,0.0966,0.05,0,0,0.0726,0,0,0.0494,0,0,0.0726,0.0575,0.0749,0,0.0966,0.1621
"X25533.35..",0.04,0.2222,0.193,0,0.0455,0.0655,0.05,0.1299,0,0.0726,0.0333,0.05,0.1615,0,0,0.037,0.0983,0.101,0,0.0333,0.1621
"X25781.52..",0.3017,0.1952,0.152,0.2545,0.215,0.1552,0.0974,0.1299,0.1421,0.1724,0.1264,0.1421,0.0962,0.1978,0,0.1068,0.1245,0.2072,0.0909,0.2345,0.1996
"X25893.30..",0.3717,0.4444,0.4766,0.5273,0.5083,0.3828,0.4526,0.5087,0.5105,0.4074,0.4621,0.4553,0.4519,0.489,0.4333,0.4843,0.4247,0.4474,0.5182,0.4402,0.1976
"X25912.16..",0.085,0.0286,0.0526,0,0.085,0.132,0,0.171,0.2947,0.15,0.2103,0.0974,0.1615,0.2115,0.25,0.1833,0.156,0.0768,0.0909,0.1396,0.0625
"X26533.63..",0.3715,0.3882,0.5117,0.4333,0.504,0.4064,0.424,0.5095,0.4526,0.46,0.4609,0.4181,0.3532,0.4936,0.5333,0.4938,0.455,0.4099,0.1727,0.4914,0.4346
"X26947.36..",0.2228,0.2825,0.1023,0.1727,0.3483,0.0655,0.3316,0.2749,0.1842,0.2308,0.2816,0.3816,0.1615,0.3901,0.3,0.2564,0.2425,0.192,0.0909,0.1828,0.0974
"X27464.32..",0.4567,0.4902,0.193,0.4182,0.4547,0.4943,0.5132,0.4567,0.3553,0.4843,0.4609,0.424,0.4878,0.522,0.5,0.4801,0.4504,0.4791,0.3091,0.4897,0.504
"X28034.46..",0.1245,0.3101,0.307,0.4667,0.3267,0.3519,0.2978,0.2403,0.2632,0.3696,0.1552,0.424,0.2756,0.2115,0.2,0.245,0.2875,0.3659,0.3182,0.2167,0.3235
"X28168.18..",0.4583,0.3859,0.4737,0.4636,0.3116,0.3828,0.4947,0.3615,0.4868,0.4103,0.4138,0.4474,0.3808,0.2527,0.4333,0.3519,0.4093,0.473,0.3889,0.4444,0.3933
"X28571.51..",0.4433,0.4122,0.4737,0.4818,0.41,0.346,0.3605,0.4394,0.4658,0.4103,0.3977,0.4816,0.3526,0.4451,0.5667,0.3547,0.3993,0.4217,0.3636,0.4724,0.419
"X28594.31..",0.0783,0.027,0.1023,0,0,0.0655,0.1421,0,0.05,0.0726,0.0655,0,0.1404,0,0.3,0.1396,0.0713,0.1437,0,0,0.1245
"X28890.45..",0.4117,0.3431,0.193,0.3091,0.404,0.3057,0.4816,0.4091,0.1842,0.1396,0.4632,0.2947,0.3385,0.3956,0.5667,0.2308,0.3461,0.3201,0.2545,0.3241,0.4763
"X29304.56..",0.0417,0.1734,0.0526,0.2455,0.04,0.1563,0.1842,0.0887,0.0974,0.2009,0.1828,0.05,0.0962,0.0714,0,0.2293,0.1115,0.226,0.1727,0.1264,0.0476
"X29492.38..",0.115,0.1734,0.2339,0,0.245,0.1264,0.2263,0.1762,0,0.1396,0.2598,0.1842,0.1186,0.2527,0.3,0.037,0.0983,0.0749,0.0909,0.1552,0.1245
"X29831.10..",0.1196,0.1036,0.2339,0,0.1833,0.0966,0.3316,0.0887,0.1421,0.0726,0.1839,0.05,0.1615,0.1978,0.2,0.1068,0.1115,0.1437,0.1727,0.1828,0.085
"X29954.55..",0.49,0.4842,0.345,0.5364,0.4967,0.5069,0.4974,0.4848,0.5026,0.5,0.5069,0.5053,0.5006,0.5165,0.4667,0.5071,0.4993,0.5061,0.4727,0.5011,0.5079
"X30144.8..",0.1902,0.3659,0.424,0.2455,0.37,0.4064,0.4444,0.3312,0.2974,0.2849,0.2345,0.3263,0.3244,0.4231,0.4,0.4015,0.3112,0.3718,0.0909,0.2586,0.381
"X30218.44..",0.245,0.2487,0.193,0,0.1833,0.3839,0.2947,0.2771,0.2632,0.1068,0.3241,0.2237,0.1615,0.3516,0,0.1108,0.2421,0.2881,0.0909,0.2368,0.1762
"X30744.24..",0.337,0.35,0.4474,0.3889,0.4728,0.2672,0.4526,0.4264,0.4632,0.4615,0.4816,0.4289,0.3385,0.4176,0.55,0.3077,0.4302,0.4545,0.3636,0.3116,0.5088
"X30793.45..",0.1196,0.0533,0.0526,0.1,0.04,0.1276,0.0974,0.1688,0,0.0385,0.0655,0.05,0.1186,0.1374,0.1667,0.0726,0.0849,0.0506,0,0.1276,0.0929
"X31158.22..",0.1833,0.2269,0.1023,0.4545,0.1421,0.2103,0.2632,0.1762,0.2263,0.2369,0.1839,0.1842,0.2596,0.2527,0.4667,0.2009,0.1743,0.1906,0.0909,0.1396,0.085
"X31216.39..",0.215,0.1517,0.0526,0.0909,0.115,0.2103,0.1421,0.1688,0.1421,0.1396,0.2356,0.0974,0.1404,0.0714,0.1667,0.1709,0.1245,0.1437,0,0.1828,0.1976
"X31388.9..",0.215,0.2928,0.193,0.0909,0.2554,0.1563,0.05,0.3312,0.1421,0.2308,0.1264,0.2605,0.0962,0.1978,0.2,0,0.162,0.0749,0.0909,0.2356,0.085
"X31725.29..",0.275,0.4617,0.3421,0.3182,0.215,0.3989,0.3289,0.3571,0.4342,0.4658,0.3977,0.4079,0.3244,0.4176,0.4333,0.3547,0.4058,0.4406,0.3727,0.3241,0.3261
"X31838.41..",0.115,0.0533,0,0,0,0.0333,0.05,0,0,0,0.0333,0,0.1404,0,0,0.1396,0.0147,0.0506,0.0909,0,0.0476
"X31882.20..",0.3483,0.2958,0.193,0.5091,0.4283,0.3816,0.3605,0.3853,0.4816,0.3917,0.3828,0.3579,0.3923,0.3462,0.5,0.3831,0.3852,0.386,0.3091,0.4126,0.2648
"X32441.20..",0.5091,0.4932,0.4766,0.5,0.5054,0.5049,0.4842,0.5087,0.5026,0.4758,0.4977,0.5105,0.4436,0.4679,0.45,0.4929,0.4998,0.4893,0.5182,0.4778,0.4974
"X33388.62..",0.2554,0.3183,0.4444,0.5182,0.4289,0.3046,0.2237,0.2424,0.1842,0.3732,0.4264,0.2947,0.2923,0.3077,0.3,0.2564,0.2926,0.2688,0.4182,0.3989,0.3241
"X33839.69..",0.04,0,0,0,0.0783,0,0.05,0.0455,0,0.0385,0.0655,0.0974,0,0.0714,0,0,0.0575,0.0749,0.1727,0.0677,0
"X34207.52..",0.4674,0.5067,0.4971,0.5091,0.5036,0.3823,0.4105,0.3853,0.45,0.5083,0.5069,0.4415,0.4353,0.4835,0.35,0.5046,0.4686,0.4738,0.4444,0.4402,0.4789
"X34303.22..",0.2467,0.2162,0,0.2455,0.115,0.1552,0.2237,0.2056,0.3605,0.2835,0.3253,0.1868,0.2917,0.1978,0.1667,0.2564,0.1741,0.2274,0.1727,0.3977,0.3221
"X34813.39..",0.35,0.3731,0.3392,0.2455,0.215,0.3448,0.3553,0.3052,0.2605,0.2578,0.3621,0.2237,0.3083,0.4231,0.3,0.3319,0.2728,0.3144,0.3727,0.335,0.3458
"X34919.45..",0.1902,0,0,0.1727,0,0.0655,0.05,0,0.0974,0.0726,0.1552,0.05,0.0731,0,0.2,0.0754,0.0849,0.0506,0,0.0333,0
"X35632.44..",0.1902,0.0533,0.0526,0.0909,0.115,0.1264,0.2237,0.1299,0.05,0.1396,0.1552,0.05,0.0731,0.1429,0.1667,0.1709,0.1743,0.2456,0.1727,0.1828,0.1976
"X35764.24..",0.192,0.1036,0.0526,0,0.115,0.1839,0.05,0.0887,0.05,0.037,0,0.05,0.0494,0,0,0,0.0713,0.0768,0.0909,0.0655,0
"X35962.67..",0.115,0.0788,0.1053,0,0.15,0,0.05,0.0455,0.05,0.0726,0.0333,0,0,0,0,0.1068,0.0292,0.0256,0,0.0655,0
"X36197.11..",0.0417,0,0.1023,0.0909,0.115,0.0655,0,0.1688,0.0974,0,0.1264,0,0.1615,0.1374,0,0.037,0.0713,0.0256,0.1727,0.1264,0
"X36315.32..",0.3733,0.4227,0.2719,0.5182,0.4267,0.3632,0.4868,0.4848,0.4658,0.4886,0.3644,0.2974,0.4359,0.3462,0.4667,0.4672,0.473,0.4595,0.3727,0.3916,0.4625
"X36377.57..",0,0.0788,0.0526,0,0.0815,0.0345,0.0526,0.0455,0.0974,0.0726,0.0333,0,0.0494,0.1374,0,0.0726,0.0713,0.0506,0,0.0333,0
"X36889.7..",0.0435,0.0788,0,0,0.04,0,0,0,0,0.0754,0,0.0974,0,0,0,0.0726,0.0147,0.0256,0,0,0
"X36974.57..",0.15,0.0788,0.1491,0.1727,0.04,0.0655,0.2263,0,0,0.0726,0.0966,0.05,0.0962,0.0714,0,0.1396,0.0713,0.0749,0.0909,0.0655,0.0435
"X37047.53..",0.47,0.4508,0.5146,0.3091,0.4746,0.4772,0.3816,0.4827,0.5079,0.5108,0.5034,0.5132,0.4756,0.5128,0.4667,0.4416,0.4603,0.4968,0.2455,0.4782,0.5071
"X37322.20..",0.0783,0.1509,0.0526,0,0.245,0.0966,0,0.2056,0.05,0.1068,0.0966,0.0974,0.0494,0.1374,0,0,0.0575,0.0506,0.0909,0.1552,0.0435
"X37493.34..",0.3733,0.2365,0.2749,0.5,0.245,0.3448,0.1842,0.3052,0.2632,0.3547,0.3437,0.1421,0.425,0.3462,0.5,0.2821,0.3202,0.4197,0.2455,0.3632,0.1996
"X38645.67..",0,0.0533,0.0526,0.0909,0.0783,0.0655,0.05,0.171,0.05,0.0726,0.0966,0.1842,0.0731,0.0714,0,0.037,0.0986,0.0985,0.0909,0.0333,0.1996
"X39129.13..",0.0815,0,0,0,0,0,0.05,0,0.0974,0,0,0,0.025,0,0,0.0385,0.0292,0.0506,0.0909,0,0
"X39241.60..",0.1833,0.0533,0,0.1727,0.04,0.2103,0.1421,0.1299,0.05,0.037,0.2345,0.1421,0.0962,0.0714,0,0.0726,0.0997,0.0749,0.2455,0.0655,0.2628
"X39584.13..",0.2167,0.2568,0.3392,0.2455,0.1833,0.3793,0.3553,0.2727,0.2237,0.2849,0.2828,0.3289,0.2577,0.3022,0.4667,0.2009,0.3292,0.2814,0.1727,0.4138,0.3696
"X39636.61..",0.04,0,0,0,0.04,0,0,0,0,0.037,0,0,0.0962,0,0,0.037,0.0292,0,0,0,0.0455
"X39874.12..",0.41,0.4339,0.3743,0.1727,0.37,0.3966,0.3289,0.2403,0.3842,0.3903,0.2345,0.4684,0.3673,0.3462,0.3,0.4359,0.4183,0.386,0.2667,0.266,0.3696
"X39925.18..",0.375,0.2372,0.2719,0.0909,0.3717,0.3241,0.4105,0.4913,0.3868,0.3732,0.3793,0.3842,0.3917,0.4725,0.1667,0.3732,0.3115,0.33,0.4636,0.4126,0.3261
"X40001.24..",0.3605,0.2487,0.4035,0.2667,0.4048,0.3732,0.4795,0.4719,0.3553,0.4516,0.2828,0.4632,0.4583,0.4505,0.6,0.4088,0.3292,0.4422,0.3333,0.3241,0.4833
"X40386.23..",0.3,0.2568,0.2368,0.1727,0.325,0.2609,0.3842,0.2749,0.4263,0.2009,0.1552,0.0974,0.3923,0.1978,0.4,0.2564,0.2526,0.3514,0.3182,0.2345,0.3202
"X40452.46..",0.4964,0.4227,0.345,0.3091,0.47,0.4391,0.4947,0.4827,0.4526,0.4416,0.3046,0.2974,0.4667,0.3462,0.55,0.4516,0.4061,0.4507,0.4545,0.2586,0.5059
"X40538.30..",0.245,0.254,0.1491,0.3636,0.1621,0.1709,0.3015,0.0455,0.2605,0.2677,0.1828,0.0974,0.3237,0.3205,0,0.2677,0.1642,0.3101,0.1727,0.1884,0.1868
"X40688.47..",0.0417,0,0.0526,0.1727,0,0.0333,0.1421,0.0887,0.1421,0.0726,0.0966,0.05,0.1404,0,0,0.1068,0.0713,0.0985,0,0.0966,0.0455
"X41140.16..",0.5,0.4934,0.4912,0.5182,0.4366,0.5093,0.5146,0.4264,0.5132,0.5085,0.4977,0.5029,0.491,0.5055,0.5667,0.5071,0.5042,0.4993,0.5182,0.4852,0.4644
"X41331.25..",0.3098,0.3994,0.424,0.4273,0.325,0.3253,0.3579,0.469,0.4658,0.3547,0.3816,0.4816,0.3532,0.3077,0.35,0.2593,0.3852,0.3859,0.3727,0.4669,0.3571
"X41590.9..",0.3483,0.2748,0.1491,0.1727,0.245,0.1552,0.2605,0.0887,0.1421,0.2821,0.2598,0.2947,0.0731,0,0.4,0.1709,0.2627,0.1437,0.1727,0.1839,0.1245
"X41702.63..",0.5091,0.5092,0.4649,0.5,0.5022,0.5085,0.5184,0.5108,0.5,0.5109,0.4989,0.4684,0.5071,0.511,0.5667,0.5031,0.493,0.5045,0.3636,0.5074,0.5048
"X41943.6..",0.3696,0.3,0.4415,0.1727,0.4447,0.381,0.4816,0.381,0.3868,0.3063,0.3621,0.3579,0.3083,0.4545,NA,0.3319,0.3784,0.3306,0.3636,0.2828,0.3476
"X42042.26..",0.115,0.0533,0.0526,0.1727,0.1558,0.0966,0,0.1299,0.1842,0.1709,0.2345,0.1842,0.0494,0.2582,0.3,0.1724,0.0849,0.101,0.0909,0.1828,0.1976
"X42076.25..",0.115,0.1044,0.1491,0.0909,0.215,0.0966,0.05,0.21,0.1421,0.0726,0.1264,0,0.0962,0.1374,0,0,0.1247,0.1221,0,0.1828,0.2312
"X42176.25..",0.0417,0.1276,0.1491,0.3091,0,0.0966,0.0974,0.0929,0.05,0.1396,0,0.05,0.0962,0.0714,0,0.1068,0.0575,0.0256,0,0.0333,0.085
"X42285.64..",0,0.027,0,0,0.0417,0.0333,0.05,0.0455,0,0.037,0,0,0,0,0,0.037,0.0435,0,0.0909,0.0333,0
"X42738.15..",0.5083,0.4835,0.5146,0.4545,0.4667,0.4805,0.4474,0.5043,0.5079,0.5057,0.5046,0.5105,0.5045,0.522,0.5,0.5071,0.4974,0.5027,0.5,0.4977,0.5119
"X42847.64..",0.2536,0.2874,0.1023,0,0.115,0.1396,0.1491,0.1299,0.1447,0.1902,0.1264,0,0.2267,0.1374,0,0.2293,0.1688,0.205,0.3091,0.25,0.1842
"X43138.8..",0,0,0.0526,0.0909,0,0,0.0974,0.1299,0.05,0,0.0333,0.0974,0,0.0714,0.1667,0.037,0.0435,0.1245,0,0.0655,0.0929
"X43702.57..",0.3972,0.3994,0.3421,0.5139,0.2925,0.5,0.3392,0.461,0.3842,0.4723,0.4138,0.4658,0.3673,0.1978,0.35,0.4088,0.3924,0.3448,0.1818,0.2906,0.4214
"X43847.24..",0,0.0832,0.0526,0,0,0,0,0,0,0,0.0333,0.1491,0,0.0714,0,0,0,0,0,0.0333,0.0435
"X44123.10..",0.215,0.2479,0.1023,0.4091,0.2228,0.1552,0.1421,0.1688,0.3263,0.2564,0.1828,0.3579,0.0731,0.3022,0.3,0.2821,0.1863,0.1653,0.1727,0.1552,0.1996
"X44702.64..",0.502,0.4332,0.4444,0.1,0.413,0.4775,0.4316,0.4567,0.4947,0.4516,0.3621,0.4474,0.4865,0.4176,0.35,0.4929,0.412,0.5024,0.4545,0.3977,0.4211
"X46058.68..",0,0,0,0,0,0,0.0974,0.0455,0,0,0,0.05,0,0,0,0.037,0.0147,0.0263,0,0,0.1621
