id,pop,sex.gonads,sex.x,oto_age,length,weight,sex.y,age_f,spawned,date_capture,capture_site_name,natal_region,hatchery,capt_region,stocked,Fin.clip.tube.label,Scientific.Name,Field.Season,INPUT..BY,INPUT.DATE,SITE.NUMBER,System,Site.Name,Site.Code,lat,long,Date.Start..DD.MM.YYYY.,Collector_1,Collector.2,TOTAL.LENGTH..mm.....for.each.individual.animal..,WEIGHT..gms.....for.each.individual.animal.,Age,Sex,S.AV.BQtage,Gonad.wt.g.,Disease.Parasites.Deformity,Sacraficed,Recapture,Genetics.No.,DNA.ref..Keller,Tag.Type_1,Tag.Colour_1,Tag.Number_1,Tag.Date_1,Tag.Lost_1,Tag.Type_2,Tag.Colour_2,Tag.Number_2,Tag.Date_2,Tag.Lost_2,Tag.Type_3,Tag.Colour_3,Tag.Number_3,Tag.Date_3,Tag.Lost_3,General.Comments.relating.to.fauna,Max.Depth..m...of.sample.area.,Ave....Depth..m...of.sample.area.,Depth.recorded.at..m.,EC.uS.cm..at.water.temp..,EC.uS.cm..at25.oC.,Temp..oC,DO..mg.L.,DO....,pH,Turbidity..NTU.,Secchi.Depth..m.,Hardness..as.CaCO3.,Oto.Vial,Comments.on.sampling.site,Plate.No..2018,Row,Column,SARDI.AGE,Fin.clip.tube.label.2,K_fas_comment,id.1,Fin.clip.tube.label.1,Genetics.No..1,Tag.Number_1.1,fas_Fin.clip.tube.label,fas_System,fas_Date.Start..DD.MM.YYYY.,fas_Sex,fas_Genetics.No.,fas_Tag.Number_1,fas_Oto.Vial,fas_FAS.Species,FAS_Batch,FAS_Specimen,fas_Combined.FAS.Code,fas_Original.client.reference,DOC,Otolith.wgt,Comments.1,Comments.2,Original.client.referance,Comments,Comments2,Supplier,Sample_Type,Reader,Reading,Readability,Age.1,Edge_Type,Comments.3,Primordium,ZL_1,ZL_2,ZL_3,ZL_4,ZL_5,ZL_6,ZL_7,ZL_8,ZL_9,ZL_10,ZL_11,ZL_12,ZL_13,ZL_14,ZL_15,ZL_16,ZL_17,ZL_18,ZL_19,ZL_20,ZL_21,ZL_22,ZL_23,ZL_24,ZL_25,ZL_26,ZL_27,ZL_28,ZL_29,ZL_30,Edge,fish_id,sp_id,site_id,microchem_id,tag_id,length.1,weight.1,sex.y.1,age_f.1,spawned.1,date_capture.1,capture_site_name.1,natal_region.1,hatchery.1,capt_region.1
GOP347,LODDON_PYRAMID,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,GP_421,Macquaria ambigua,2017-2018,Kim Loeun,31/5/2018,LO0427,LODDON,Loddon River @ Delamare Lane,,-35.90076863,143.8729482,20/4/2018,,,NA,2348,,,,NA,NA,,NA,GP_421,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,0.3,NA,493,NA,15.3,8.91,87.3,7.55,88.8,NA,NA,,,1,E,3,NA,GP_421,,GOP347,GP_421,GP_421,,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP505,MURRAY-mid,F,F,9,522,3210,female,9,2008,14/5/2018,nyah boat ramp,murrumbidgee,,mid murray,NO,GP723,Macquaria ambigua,2017-2018,,,,Murray,Nyah boat ramp,,-35.17179,143.38624,14/5/2018,JID,,522,3210,,F,4a,156.2,NA,,NA,GP723,,Dart,,207606,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,,2,E,11,NA,GP723,,GOP505,GP723,GP723,207606,GP723,Murray,14/5/2018,F,GP723,207606,46,15,89,36,15_89_36,46,14/5/2018,0.647,,GP723,46,,,DELWP,Sectioned otolith,K.Krusic-Golub,1,2,9,WT,counted closer inner,0,0.522,1.054,1.473,1.757,1.931,2.067,2.209,2.32,2.441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.514,68-46,MAC AMB,68,mmrgp46,207606,522,3210,female,9,2008,14/5/2018,nyah boat ramp,murrumbidgee,,mid murray
GOP298,LODDON_PYRAMID,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,GP 2017 #GP204,Macquaria ambigua,2016-2017,,,,Pyramid,S5,,-35.77825,144.07129,2/5/2017,Graeme Hackett,Adrian Kitchingman,454,1568,,,,NA,NA,,NA,gp204,,dart,yellow,136907,,NA,pit,NA,9.82E+14,NA,NA,,NA,,NA,NA,,2.8,2.2,NA,87,NA,15,9.16,NA,5.66,50,NA,NA,,,NA,,NA,NA,GP 2017 #GP204,,GOP298,GP 2017 #GP204,gp204,136907,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP099,WIMMERA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Report CD GP-31,Macquaria ambigua,2016-2017,,,,Wimmera River,Fished from 530 metres downstream Spears Crossing to Spears Crossing.,,-36.32538,141.98395,20/3/2017,Jason Lieschke; John Mahoney,,470,1804,,,,NA,NA,,NA,Report CD GP-31,,,,T - 137505,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,,NA,NA,Report CD GP-31,,GOP099,Report CD GP-31,Report CD GP-31,T - 137505,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP004,BROKEN,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,BR_17_107,Macquaria ambigua,2016-2017,Joanne Kearns,3/5/2017,BR0304,BROKEN,Broken River @ breakout point (near Quinn Road),,-36.46523791,145.9183549,7/3/2017,Graeme Hackett,David Dawson,338,528,4F,,,NA,NA,Y,NA,BR_17_107,,T-Bar,,137691,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,2.6,1.1,NA,126,NA,22.4,NA,NA,NA,NA,0.5,NA,,"Fished u/s of house. Mostly good habitat, fish came from timber with flow. Launched at sandbar below u/s house",NA,,NA,NA,BR_17_107,,GOP004,BR_17_107,BR_17_107,137691,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP042,CAMPASPE,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,GP_150,Macquaria ambigua,2016-2017,Joanne Kearns,4/5/2017,CA0233,CAMPASPE,Avonmore Bridge Road ,,-36.56285,144.58766,6/4/2017,Graeme Hackett,Kris Pitman,402,1018,4P,,,NA,NA,Y,NA,GP_150,,Dart_T-Bar,,103891,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,3,1.4,NA,314,NA,18.6,9.59,NA,7.14,17.3,NA,NA,,Fished from bridge upstream. Site much better for cod @ top of site,NA,,NA,NA,GP_150,,GOP042,GP_150,GP_150,103891,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP006,BROKEN ,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,BR_17_29,Macquaria ambigua,2016-2017,Joanne Kearns,3/5/2017,BR0327,BROKEN ,Private Property (River Drum) upstream of site BR0307,,-36.43259,145.67882,7/3/2017,Graeme Hackett,David Dawson,395,942,,,,NA,NA,,NA,BR_17_29,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,1.9,0.9,NA,149.3,NA,25.7,NA,NA,NA,NA,0.58,NA,,Chris Drum's Property. Mainly shallow,NA,,NA,NA,BR_17_29,,GOP006,BR_17_29,BR_17_29,,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP617,GOULBURN,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,GP 2018 # GP 876,Macquaria ambigua,2017-2018,,,,Goulburn River,Fished from 850 metres downstream launch to 300 metres upstream at Moss Road.,Moss Road,-36.69945,145.18156,30/4/2018,Jason Lieschke; John Mahoney,,368,638,,,,NA,NA,,NA,GP 2018 # GP 876,,,,138750,,NA,,NA,NA,NA,NA,,NA,,NA,NA,Kept for Otoliths,3.2,1.4,0.2,NA,70,14.6,10.64,104.7,7.65,1.3,0.87,NA,,,4,A,2,NA,GP 2018 # GP 876,,GOP617,GP 2018 # GP 876,GP 2018 # GP 876,138750,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP007,BROKEN ,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,BR_17_30,Macquaria ambigua,2016-2017,Joanne Kearns,3/5/2017,BR0327,BROKEN ,Private Property (River Drum) upstream of site BR0307,,-36.43259,145.67882,7/3/2017,Graeme Hackett,David Dawson,326,262,3P,,,NA,NA,Y,NA,BR_17_30,,Dart,,134073,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,1.9,0.9,NA,149.3,NA,25.7,NA,NA,NA,NA,0.58,NA,,Chris Drum's Property. Mainly shallow,NA,,NA,NA,BR_17_30,,GOP007,BR_17_30,BR_17_30,134073,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP357,BROKEN,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,GP_388,Macquaria ambigua,2017-2018,Kim Loeun,31/5/2018,BR0327,BROKEN,Private Property (River Drum) upstream of site BR0307,,-36.43259,145.67882,8/3/2018,Graeme Hackett,Kim Loeun,355,650,,,,NA,NA,,NA,GP_388,,Dart,,143577,,NA,Pit,NA,NA,NA,NA,,NA,,NA,NA,,2.6,1,NA,97,NA,22.6,6.6,NA,NA,NA,NA,NA,,not sure about turbidity,1,G,4,NA,GP_388,,GOP357,GP_388,GP_388,143577,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP384,CAMPASPE,,,4,432,1297,NA,4,2013,10/5/2018,campaspe reach 2,hatchery,Murrumbidgee,campaspe,YES,GP953,Macquaria ambigua,2017-2018,christine,1/6/2018,CA0212,CAMPASPE,Campaspe River @ English's Bridge,,-36.62228169,144.5614071,11/5/2018,Graeme Hackett,Kim Loeun,432,1297,,,,NA,NA,,NA,GP953,,Dart,,136084,,NA,,NA,NA,NA,NA,,NA,,NA,NA,Kept,NA,NA,NA,417,NA,13.8,8.67,NA,7.79,6.1,830,NA,,,1,B,8,NA,GP953,,GOP384,GP953,GP953,136084,GP953,CAMPASPE,11/5/2018,,GP953,136084,136084,15,91,18,15_91_18,136084,10/5/2018,0.336,,GP953,#136084,,,delwp,Sectioned otolith,K.Krusic-Golub,1,2,4,WT,,0,0.482,0.889,1.347,1.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.692,89-136084,MAC AMB,89,gp136084,136084,432,1297,NA,4,2013,10/5/2018,campaspe reach 2,hatchery,Murrumbidgee,campaspe
GOP054,CAMPASPE,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,GP_110,Macquaria ambigua,2016-2017,Joanne Kearns,5/5/2017,CA0231,CAMPASPE,English Bridge u/s running water,,-36.62577,144.55965,4/4/2017,Zeb Tonkin,Jason Lieschke,370,806,3W,,,NA,NA,Y,NA,GP_110,,Dart,,136427,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,English Bridge u/s running water * Searching site,NA,,NA,NA,GP_110,,GOP054,GP_110,GP_110,136427,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
