"","BROKEN","CAMPASPE","DUMARESQ","EDWARD-WAKOOL","GINGHAM","GOULBURN","GUNBOWER","GWYDIR","L_MURRAY","LODDON_PYRAMID","LOWER_DARLING","MACINTYRE","MACQUARIE","MULLAROO_LINDSAY","MURRAY-Barmah","MURRAY-dsYarrawonga","MURRAY-mid","MURRUMBIDGEE","SEVERN","UPPER_DARLING","WIMMERA"
"X3240.38..",0.48,0.3514,0.3684,0.6364,0.12,0.3,0.15,0.3333,0.1,0.5185,0.3,0.35,0.525,0.4286,0.3333,0.3333,0.3529,0.3846,0.3636,0.2,0.3913
"X4813.22..",0.6,0.3514,0.3684,0.3636,0.5417,0.4,0.35,0.4091,0.35,0.4444,0.5,0.2,0.5,0.2143,0.5,0.3704,0.4118,0.4737,0.2727,0.5,0.3182
"X4925.29..",0,0.0556,0,0,0.0435,0.1034,0,0,0.05,0.037,0.0333,0,0,0,0,0.037,0.0149,0.0526,0.0909,0,0
"X5090.6..",0.3913,0.3143,0.3684,0.2857,0.4167,0.2083,0.1875,0.2727,0.4,0.28,0.4,0.2632,0.275,0.3571,0.2,0.5,0.2615,0.3235,0.3,0.2759,0.3158
"X5792.61..",0.2,0.2162,0.3158,0.1818,0.2,0.3,0.25,0.2273,0.05,0.2963,0.2,0.1,0.175,0.2857,0.1667,0.2963,0.3088,0.2051,0.1818,0.2333,0.087
"X7332.9..",0.2917,0.2857,0.6316,0.4,0.32,0.4828,0.2632,0.4545,0.55,0.4815,0.3,0.4,0.475,0.6154,0.2,0.2963,0.3582,0.4595,0.3636,0.4138,0.35
"X7564.34..",0.5909,0.4,0.3684,0.5,0.1667,0.3333,0.35,0.4091,0.3,0.3478,0.4444,0.2353,0.5385,0.3846,0.2,0.3913,0.2931,0.5135,0.5,0.4286,0.5217
"X8825.29..",0.68,0.6389,0.8421,0.7273,0.75,0.6333,0.8,0.8636,0.9,0.7037,0.8333,0.5789,0.6,0.7857,0.5,0.8148,0.7647,0.7692,0.9091,0.8667,0.8261
"X9396.35..",0.6957,0.4412,0.3684,0.75,0.4348,0.5185,0.7222,0.5455,0.35,0.52,0.3667,0.45,0.475,0.5,0.8,0.64,0.3846,0.5676,0.5,0.5,0.5
"X9536.37..",0.125,0.2162,0.1053,0,0,0.1333,0.15,0,0.05,0.037,0.0667,0.1,0.1,0.1429,0,0.0741,0.0441,0.0769,0.1818,0.0667,0.0455
"X10168.31..",0.4,0.4054,0.4737,0.2727,0.48,0.5333,0.35,0.5455,0.35,0.3333,0.2,0.4737,0.475,0.3571,0,0.4074,0.3529,0.4474,0.2727,0.2667,0.2609
"X10432.39..",0,0,0.1053,0.1818,0.16,0,0.05,0.1364,0,0.037,0.0333,0.05,0.15,0,0,0.1111,0.0294,0.0769,0,0.0667,0.0435
"X11015.24..",0.24,0.1892,0.1053,0.1818,0.1304,0.2,0.25,0.1364,0.2,0.2308,0.0333,0.05,0.075,0.1429,0.1667,0.1481,0.1045,0.1538,0.0909,0.1724,0.3043
"X11161.8..",0.4,0.3514,0.3684,0.5455,0.6667,0.3667,0.4,0.4,0.5,0.3704,0.4667,0.3158,0.325,0.3571,0.6,0.3333,0.4265,0.4865,0.5455,0.5417,0.5217
"X12042.65..",0,0.027,0.0526,0.0909,0.0435,0.0333,0,0.0455,0.1,0.037,0.1,0,0.025,0,0,0.037,0.0147,0.0263,0,0,0.087
"X12361.64..",0,0,0,0.0909,0,0,0,0,0,0.037,0.0333,0,0.025,0.0714,0,0.037,0.0147,0.0256,0,0.1,0
"X12625.18..",0.4583,0.4595,0.6316,0.5455,0.8,0.5333,0.35,0.5909,0.45,0.5926,0.5667,0.4,0.525,0.5,0.8333,0.5926,0.5,0.5385,0.4545,0.4667,0.4348
"X12837.31..",0.5833,0.4324,0.6842,0.3636,0.64,0.5333,0.55,0.4762,0.4,0.3704,0.4667,0.6316,0.475,0.5,0.3333,0.6296,0.4706,0.6923,0.6364,0.6071,0.5217
"X14574.68..",0.16,0.1622,0.1579,0.0909,0.0909,0.2,0.1,0.1053,0,0.2593,0.0333,0.1053,0.2051,0.2857,0,0.2593,0.1324,0.1579,0.3,0.1379,0.0435
"X14894.54..",0.16,0.4571,0.5263,0.5455,0.6087,0.2667,0.3,0.2727,0.5,0.1481,0.4333,0.25,0.4,0.4286,0.3333,0.4444,0.3382,0.4722,0.1818,0.5333,0.2609
"X14987.65..",0.3333,0.0811,0.1579,0.0909,0.04,0.2,0.35,0.2273,0.05,0.1852,0.0333,0.2,0.275,0.2143,0.1667,0.2593,0.2353,0.1282,0,0.1333,0.0435
"X15075.14..",0,0,0,0.1,0,0,0,0.1364,0.1,0.037,0,0.05,0,0,0,0.037,0.0147,0,0,0.0667,0.0476
"X15197.42..",0,0.0278,0.0526,0,0.04,0.1034,0.0526,0.0455,0,0.037,0.0333,0.05,0.1,0,0,0,0.0294,0,0.0909,0.0333,0.0476
"X15605.9..",0.56,0.4167,0.2632,0.4545,0.7083,0.3667,0.3,0.5909,0.6,0.4815,0.5333,0.5,0.425,0.2143,0.8333,0.4074,0.5588,0.6053,0.4545,0.6,0.3478
"X15705.65..",0,0,0,0.0909,0.125,0.0667,0,0.1364,0.2,0.037,0.1667,0.15,0.075,0.0714,0,0.037,0.0588,0.1282,0.0909,0.1,0.0909
"X16943.53..",0.3636,0.3514,0.5789,0.3333,0.64,0.5667,0.4211,0.4091,0.55,0.4231,0.1724,0.15,0.4,0.6667,0.5,0.32,0.3529,0.4706,0.6364,0.4074,0.5263
"X16984.33..",0.2917,0.4286,0.3684,0.5455,0.5789,0.3448,0.35,0.5909,0.4,0.6,0.5,0.3158,0.5,0.3571,0.3333,0.4444,0.5224,0.3143,0.4545,0.4815,0.3478
"X17054.53..",0.2174,0.3548,0.3158,0.4444,0.4091,0.4,0.2778,0.1818,0.4,0.52,0.4828,0.4,0.25,0.5,0.6,0.4231,0.4545,0.4865,0.7,0.5556,0.3
"X17428.10..",0.52,0.5405,0.4737,0.2727,0.56,0.4667,0.45,0.3636,0.2,0.5185,0.4333,0.4,0.3,0.0714,0.3333,0.5556,0.3529,0.5641,0.5455,0.3667,0.5217
"X17967.50..",0.125,0.0811,0.1579,0.3,0.4167,0.2,0.1053,0.3636,0.05,0.2593,0.1,0.3,0.25,0.2143,0,0.1481,0.1912,0.2051,0.0909,0.2,0.1
"X18265.10..",0.24,0.1622,0,0.1818,0.04,0.2,0.15,0.0909,0.1,0.1481,0.1,0.05,0.15,0.0714,0.1667,0.1852,0.25,0.1842,0.0909,0.0667,0.0435
"X18654.30..",0.3043,0.5,0.2778,0.4,0.4783,0.5357,0.5,0.4286,0.4211,0.36,0.5667,0.5789,0.4,0.4286,0.8,0.4,0.4375,0.5278,0.625,0.6552,0.4091
"X19407.54..",0,0.027,0,0,0,0.0333,0.05,0,0.05,0,0,0.05,0.025,0,0.1667,0,0.0147,0.0513,0.0909,0.0667,0
"X19626.12..",0.12,0.3429,0.2105,0.5455,0.32,0.3,0.2,0.4545,0.15,0.5185,0.3,0.1,0.3,0.2143,0,0.2222,0.2941,0.4474,0.0909,0.3333,0.3478
"X19702.49..",0.0833,0,0,0.1818,0,0.0333,0.05,0.1364,0.1,0.037,0.1,0,0.1,0,0,0,0.0588,0.0256,0.1818,0.1333,0
"X19904.65..",0.2083,0.1081,0.1579,0.2727,0.3478,0.1,0.2,0.2273,0.1,0.1852,0.0667,0.2,0.1,0.2143,0,0.2222,0.1618,0.2308,0.2727,0.2667,0.2609
"X19962.27..",0.04,0,0,0,0,0,0,0.0455,0,0.0741,0,0,0.05,0,0,0.1111,0.0147,0.0769,0,0,0.0435
"X20121.21..",0.0417,0.0286,0.4737,0.2727,0.1304,0.2,0.15,0.1364,0.25,0.1481,0.1667,0.2,0.175,0.0714,0,0.0741,0.1618,0.1053,0.0909,0.1333,0.087
"X20366.11..",0.36,0.2973,0.2632,0.2727,0.36,0.2667,0.2,0.2273,0.3,0.3333,0.2667,0.2,0.375,0.5,0.1667,0.3333,0.2941,0.3077,0.1818,0.1,0.3913
"X20571.59..",0.25,0.1892,0.1053,0.3636,0.28,0.0714,0.1053,0.4545,0.2,0.1111,0.2333,0.35,0.125,0.1429,0,0.1852,0.1912,0.1795,0.0909,0.3448,0.1
"X20843.52..",0.3182,0.5135,0.3158,0.4286,0.52,0.28,0.3529,0.4091,0.5,0.7391,0.2333,0.35,0.45,0.5,0.25,0.5556,0.5441,0.5278,0.4,0.5556,0.55
"X20928.9..",0,0,0.0526,0,0.08,0,0.05,0.0455,0.1,0.037,0,0.15,0,0.1429,0,0,0.0441,0,0,0.1,0
"X21041.29..",0.5417,0.5,0.6316,0.5455,0.6087,0.4,0.45,0.4545,0.65,0.2963,0.4667,0.5263,0.425,0.5,0.5,0.4074,0.4559,0.5263,0.6364,0.6,0.3
"X21262.65..",0,0.0278,0,0,0.04,0.0417,0,0.0455,0.05,0.0417,0.0667,0.1,0.025,0.0769,0,0.0741,0.0308,0.0789,0,0.0345,0.0526
"X21687.59..",0.16,0.1351,0.0526,0.0909,0.12,0.1333,0.2,0.3182,0.1,0.037,0.1,0.25,0.075,0.3571,0.2,0.1111,0.1324,0.0769,0.1818,0.1,0
"X23567.62..",0,0,0,0,0,0,0.0556,0.0455,0.05,0,0.0333,0,0,0.0714,0,0.0385,0.0606,0.0513,0,0,0
"X23807.51..",0.04,0.0811,0.1053,0,0.28,0.1333,0.1,0.1364,0.2,0.2222,0.2333,0.15,0.125,0.2143,0,0.0741,0.2059,0.2105,0.3636,0.0667,0.3043
"X24074.16..",0.4348,0.5946,0.2105,0.1818,0.5217,0.4667,0.3684,0.5238,0.3,0.3077,0.4667,0.45,0.35,0.3571,0.5,0.3704,0.3182,0.4103,0.2727,0.4483,0.619
"X24728.37..",0,0.0588,0,0,0,0.0435,0,0,0.2,0,0.1667,0.15,0.025,0,0,0,0.0923,0.0263,0,0.1,0
"X25011.21..",0.4,0.0541,0.6316,0.2727,0.16,0.3667,0.15,0.1818,0.35,0.3333,0.1667,0.25,0.2,0.2143,0.3333,0.4444,0.3235,0.4615,0.3636,0.3667,0.5217
"X25124.43..",0.16,0.027,0,0,0.04,0.1,0.05,0,0,0.0741,0,0,0.05,0,0,0.0741,0.0588,0.0769,0,0.1,0.1739
"X25533.35..",0.04,0.1944,0.2105,0,0.0455,0.0667,0.05,0.1364,0,0.0741,0.0333,0.05,0.175,0,0,0.037,0.1029,0.1053,0,0.0333,0.1739
"X25781.52..",0.28,0.2162,0.0526,0.0909,0.24,0.1667,0.1,0.1364,0.15,0.1111,0.1333,0.15,0.1,0.2143,0,0.1111,0.1324,0.1795,0.0909,0.2667,0.1304
"X25893.30..",0.4,0.1944,0.5263,0.3636,0.56,0.3,0.35,0.4545,0.55,0.4815,0.5,0.25,0.525,0.6429,0.1667,0.4815,0.3676,0.4474,0.5455,0.4333,0.2174
"X25912.16..",0.087,0.0286,0.0526,0,0.087,0.0455,0,0.0909,0.35,0.16,0.1667,0.1,0.175,0.2308,0.25,0.2,0.1692,0.0789,0.0909,0.1481,0.0625
"X26533.63..",0.3913,0.3429,0.5263,0.6,0.6522,0.4138,0.3684,0.619,0.35,0.5385,0.5667,0.5789,0.35,0.4615,0.5,0.6923,0.5441,0.5676,0.1818,0.6207,0.5
"X26947.36..",0.25,0.2222,0.1053,0.1818,0.44,0.0667,0.2,0.2273,0.2,0.1852,0.3333,0.5,0.175,0.3571,0.3333,0.2963,0.1912,0.1053,0.0909,0.2,0.1
"X27464.32..",0.52,0.3784,0.2105,0.3636,0.4167,0.5,0.45,0.5909,0.45,0.4815,0.5667,0.3684,0.35,0.3571,0.3333,0.2222,0.5294,0.5128,0.3636,0.4,0.6522
"X28034.46..",0.1304,0.3784,0.3684,0.6667,0.32,0.3704,0.3529,0.2727,0.2,0.4783,0.1667,0.3684,0.275,0.2308,0.2,0.28,0.2188,0.3611,0.1818,0.1724,0.2778
"X28168.18..",0.44,0.4595,0.6316,0.2727,0.2917,0.3,0.4,0.2727,0.7,0.3333,0.3667,0.55,0.3,0.2857,0.1667,0.3704,0.4179,0.4872,0.5,0.4286,0.4348
"X28571.51..",0.48,0.4054,0.6316,0.5455,0.48,0.3,0.25,0.6364,0.5,0.3333,0.4,0.45,0.4,0.6429,0.1667,0.2222,0.3676,0.3846,0.4545,0.4667,0.2174
"X28594.31..",0.08,0.027,0.1053,0,0,0.0667,0.15,0,0.05,0.0741,0.0667,0,0.15,0,0.3333,0.1481,0.0735,0.1538,0,0,0.1304
"X28890.45..",0.4,0.3784,0.2105,0.3636,0.375,0.2333,0.45,0.2727,0.2,0.1481,0.4333,0.35,0.375,0.2143,0.1667,0.1852,0.3824,0.3947,0.0909,0.4,0.4783
"X29304.56..",0.0417,0.1892,0.0526,0.2727,0.04,0.1,0.2,0.0909,0.1,0.2222,0.2,0.05,0.1,0.0714,0,0.2593,0.1176,0.2564,0.1818,0.1333,0.0476
"X29492.38..",0.12,0.1892,0.2632,0,0.28,0.1333,0.15,0.1905,0,0.1481,0.2333,0.2,0.125,0.2857,0.3333,0.037,0.1029,0.0769,0.0909,0.1667,0.1304
"X29831.10..",0.125,0.1081,0.2632,0,0.2,0.1,0.2,0.0909,0.15,0.0741,0.1333,0.05,0.175,0.2143,0.2,0.1111,0.1176,0.1538,0.1818,0.2,0.087
"X29954.55..",0.48,0.4054,0.2105,0.1818,0.8,0.6,0.65,0.5,0.45,0.3846,0.5667,0.6,0.55,0.5,0.6667,0.5926,0.3676,0.5385,0.7273,0.6333,0.6522
"X30144.8..",0.2083,0.3611,0.3684,0.2727,0.48,0.4138,0.4211,0.4091,0.25,0.1852,0.2667,0.4,0.3,0.4286,0.5,0.3846,0.3529,0.4872,0.0909,0.3,0.5
"X30218.44..",0.28,0.2286,0.2105,0,0.2,0.2333,0.35,0.1364,0.2,0.1111,0.4,0.25,0.175,0.2857,0,0.1154,0.25,0.2368,0.0909,0.1333,0.1905
"X30744.24..",0.3333,0.3889,0.3158,0.5,0.75,0.2414,0.35,0.4091,0.6,0.6296,0.4333,0.5,0.375,0.5714,0.4,0.2963,0.4118,0.5789,0.4545,0.3793,0.4737
"X30793.45..",0.125,0.0541,0.0526,0.1,0.04,0.0667,0.1,0.1818,0,0.0385,0.0667,0.05,0.125,0.1429,0.1667,0.0741,0.0882,0.0513,0,0.0667,0.0952
"X31158.22..",0.2,0.2571,0.1053,0.4545,0.15,0.1667,0.2,0.1905,0.15,0.2692,0.1333,0.2,0.15,0.2857,0.6667,0.2222,0.1618,0.2105,0.0909,0.1481,0.087
"X31216.39..",0.24,0.1081,0.0526,0.0909,0.12,0.1667,0.15,0.1818,0.15,0.1481,0.2,0.1,0.15,0.0714,0.1667,0.1852,0.1324,0.1538,0,0.2,0.2174
"X31388.9..",0.24,0.3514,0.2105,0.0909,0.2083,0.1,0.05,0.4091,0.15,0.1852,0.1333,0.3,0.1,0.2143,0.2,0,0.1765,0.0769,0.0909,0.2,0.087
"X31725.29..",0.24,0.4865,0.3158,0.1818,0.24,0.3333,0.3,0.4545,0.3,0.4074,0.4,0.45,0.3,0.5714,0.1667,0.2222,0.3824,0.4872,0.2727,0.4,0.1304
"X31838.41..",0.12,0.0541,0,0,0,0.0333,0.05,0,0,0,0.0333,0,0.15,0,0,0.1481,0.0147,0.0513,0.0909,0,0.0476
"X31882.20..",0.44,0.1351,0.2105,0.4545,0.44,0.3667,0.25,0.3182,0.45,0.3704,0.3,0.35,0.375,0.4286,0.3333,0.3462,0.3676,0.4103,0.3636,0.4333,0.2174
"X32441.20..",0.5833,0.5135,0.5263,0.5,0.7083,0.4138,0.8,0.5909,0.45,0.4444,0.6,0.55,0.5,0.5385,0.6,0.4444,0.5,0.5,0.2727,0.5517,0.65
"X33388.62..",0.2083,0.2778,0.4211,0.5455,0.6087,0.3,0.25,0.1818,0.2,0.3333,0.4667,0.35,0.3,0.2143,0.3333,0.2963,0.3235,0.3158,0.3636,0.3333,0.2174
"X33839.69..",0.04,0,0,0,0.08,0,0.05,0.0455,0,0.0385,0.0667,0.1,0,0.0714,0,0,0.0588,0.0769,0.1818,0.069,0
"X34207.52..",0.4583,0.4286,0.6316,0.7273,0.6667,0.3571,0.35,0.3182,0.45,0.56,0.5667,0.5263,0.425,0.2857,0.4,0.4231,0.4412,0.5833,0.4,0.4074,0.55
"X34303.22..",0.2,0.2432,0,0.2727,0.12,0.1667,0.25,0.2273,0.25,0.2593,0.3333,0.1,0.35,0.2143,0.1667,0.2963,0.1912,0.1538,0.1818,0.4,0.3043
"X34813.39..",0.36,0.3784,0.4211,0.2727,0.24,0.3667,0.45,0.2727,0.3,0.2222,0.4667,0.25,0.325,0.4286,0.3333,0.2593,0.3235,0.3333,0.2727,0.2759,0.4348
"X34919.45..",0.2083,0,0,0.1818,0,0.0667,0.05,0,0.1,0.0741,0.1667,0.05,0.075,0,0.2,0.0769,0.0882,0.0513,0,0.0333,0
"X35632.44..",0.2083,0.0541,0.0526,0.0909,0.12,0.1333,0.25,0.1364,0.05,0.1481,0.1667,0.05,0.075,0,0.1667,0.1852,0.1618,0.2308,0.1818,0.2,0.2174
"X35764.24..",0.125,0.1081,0.0526,0,0.12,0.1333,0.05,0.0909,0.05,0.037,0,0.05,0.05,0,0,0,0.0735,0.0789,0.0909,0.0667,0
"X35962.67..",0.12,0.0811,0,0,0.16,0,0.05,0.0455,0.05,0.0741,0.0333,0,0,0,0,0.1111,0.0294,0.0256,0,0.0667,0
"X36197.11..",0.0417,0,0.1053,0.0909,0.12,0.0667,0,0.1818,0.1,0,0.1333,0,0.175,0.1429,0,0.037,0.0735,0.0256,0.1818,0.1333,0
"X36315.32..",0.32,0.4865,0.3158,0.5455,0.52,0.4,0.7,0.5,0.5,0.6667,0.3333,0.25,0.375,0.4286,0.6667,0.3333,0.3676,0.3846,0.2727,0.3103,0.5217
"X36377.57..",0,0.0811,0.0526,0,0.0833,0.0345,0.0526,0.0455,0.1,0.0741,0.0333,0,0.05,0.1429,0,0.0741,0.0735,0.0513,0,0.0333,0
"X36889.7..",0.0435,0.0811,0,0,0.04,0,0,0,0,0.0769,0,0.1,0,0,0,0.0741,0.0147,0.0256,0,0,0
"X36974.57..",0.16,0.0811,0.1579,0.1818,0.04,0.0667,0.15,0,0,0.0741,0.1,0.05,0.1,0.0714,0,0.1481,0.0735,0.0769,0.0909,0.0667,0.0435
"X37047.53..",0.48,0.4444,0.4737,0.3636,0.6667,0.3704,0.5,0.5909,0.65,0.4231,0.5,0.3,0.4,0.3846,0.6667,0.3333,0.4412,0.5278,0.2727,0.6333,0.2857
"X37322.20..",0.08,0.1622,0.0526,0,0.28,0.1,0,0.2273,0.05,0.1111,0.1,0.1,0.05,0.1429,0,0,0.0588,0.0513,0.0909,0.1667,0.0435
"X37493.34..",0.32,0.2703,0.2105,0.6364,0.28,0.3667,0.2,0.2727,0.2,0.2222,0.4333,0.15,0.45,0.4286,0.3333,0.3333,0.3676,0.5385,0.2727,0.4,0.1304
"X38645.67..",0,0.0541,0.0526,0.0909,0.08,0.0667,0.05,0.0909,0.05,0.0741,0.1,0.2,0.075,0.0714,0,0.037,0.0735,0.1026,0.0909,0.0333,0.1304
"X39129.13..",0.0833,0,0,0,0,0,0.05,0,0.1,0,0,0,0.025,0,0,0.0385,0.0294,0.0513,0.0909,0,0
"X39241.60..",0.2,0.0541,0,0.1818,0.04,0.1667,0.15,0.1364,0.05,0.037,0.2667,0.15,0.1,0.0714,0,0.0741,0.1045,0.0769,0.2727,0.0667,0.3043
"X39584.13..",0.16,0.2432,0.4211,0.2727,0.2,0.5,0.45,0.3182,0.25,0.1852,0.2667,0.3,0.3,0.3571,0.6667,0.2222,0.3529,0.2821,0.1818,0.3667,0.4783
"X39636.61..",0.04,0,0,0,0.04,0,0,0,0,0.037,0,0,0.1,0,0,0.037,0.0294,0,0,0,0.0455
"X39874.12..",0.48,0.4595,0.2632,0.1818,0.48,0.4667,0.3,0.2727,0.4,0.4444,0.2667,0.4,0.325,0.4286,0.3333,0.6296,0.4118,0.4103,0.3,0.3103,0.4783
"X39925.18..",0.24,0.2162,0.3158,0.0909,0.4,0.4,0.35,0.6364,0.3,0.3333,0.5,0.4,0.425,0.5714,0.1667,0.3333,0.3235,0.359,0.2727,0.4333,0.1304
"X40001.24..",0.375,0.2286,0.2105,0.3,0.4545,0.3448,0.4211,0.5455,0.45,0.5185,0.2667,0.6,0.65,0.5,0,0.4074,0.3529,0.5946,0.4,0.4,0.4762
"X40386.23..",0.36,0.2432,0.1579,0.1818,0.4,0.1667,0.4,0.2273,0.6,0.2222,0.1667,0.1,0.375,0.2143,0.5,0.2963,0.2647,0.3947,0.1818,0.2667,0.3913
"X40452.46..",0.5,0.4865,0.2105,0.3636,0.48,0.5,0.4,0.5909,0.35,0.3333,0.3,0.25,0.575,0.4286,0.4,0.5185,0.3529,0.4103,0.4545,0.3,0.3478
"X40538.30..",0.28,0.2941,0.1579,0.4545,0.1739,0.1852,0.2353,0.0455,0.3,0.1538,0.2,0.1,0.35,0.3846,0,0.1538,0.1791,0.3784,0.1818,0.2069,0.1
"X40688.47..",0.0417,0,0.0526,0.1818,0,0.0333,0.15,0.0909,0.15,0.0741,0.1,0.05,0.15,0,0,0.1111,0.0735,0.1026,0,0.1,0.0455
"X41140.16..",0.3333,0.3333,0.4737,0.5455,0.5417,0.4643,0.4211,0.4091,0.45,0.4074,0.6,0.4211,0.475,0.2143,0.3333,0.5926,0.4265,0.6316,0.6364,0.5862,0.4348
"X41331.25..",0.375,0.4324,0.3684,0.1818,0.4,0.3333,0.35,0.5238,0.5,0.2222,0.3667,0.45,0.35,0.2143,0.4,0.1481,0.3676,0.4595,0.2727,0.5,0.4545
"X41590.9..",0.44,0.3243,0.1579,0.1818,0.28,0.1667,0.3,0.0909,0.15,0.3333,0.2333,0.35,0.075,0,0.5,0.1852,0.3088,0.1538,0.1818,0.1333,0.1304
"X41702.63..",0.4167,0.3429,0.3684,0.5556,0.5,0.5185,0.4118,0.3636,0.55,0.4583,0.5333,0.4,0.425,0.4286,0.1667,0.5,0.4328,0.6486,0.4545,0.4483,0.381
"X41943.6..",0.4783,0.3056,0.5263,0.1818,0.6522,0.4286,0.45,0.5,0.3,0.3704,0.4667,0.35,0.325,0.6667,NA,0.2593,0.2941,0.3077,0.4545,0.2667,0.2381
"X42042.26..",0.12,0.0541,0.0526,0.1818,0.1667,0.1,0,0.1364,0.2,0.1852,0.2667,0.2,0.05,0.1429,0.3333,0.1111,0.0882,0.1053,0.0909,0.2,0.2174
"X42076.25..",0.12,0.0541,0.1579,0.0909,0.24,0.1,0.05,0.0455,0.15,0.0741,0.1333,0,0.1,0.1429,0,0,0.1029,0.0769,0,0.2,0.2609
"X42176.25..",0.0417,0.1351,0.1579,0.3636,0,0.1,0.1,0.0952,0.05,0.1481,0,0.05,0.1,0.0714,0,0.1111,0.0588,0.0256,0,0.0333,0.087
"X42285.64..",0,0.027,0,0,0.0417,0.0333,0.05,0.0455,0,0.037,0,0,0,0,0,0.037,0.0441,0,0.0909,0.0333,0
"X42738.15..",0.56,0.4595,0.4211,0.4545,0.64,0.5,0.55,0.4091,0.5,0.5556,0.4333,0.55,0.55,0.4286,0.3333,0.4815,0.6324,0.5641,0.6364,0.6,0.4783
"X42847.64..",0.2917,0.3429,0.1053,0,0.12,0.1481,0.1579,0.1364,0.05,0.2083,0.1333,0,0.2051,0.1429,0,0.2593,0.1846,0.2286,0.3636,0.2143,0.2
"X43138.8..",0,0,0.0526,0.0909,0,0,0.1,0.1364,0.05,0,0.0333,0.1,0,0.0714,0.1667,0.037,0.0441,0.1316,0,0.0667,0.0952
"X43702.57..",0.2609,0.4324,0.3158,0.3333,0.3478,0.4483,0.4211,0.4091,0.4,0.5,0.3667,0.5,0.325,0.2143,0.4,0.4074,0.3529,0.3846,0,0.2759,0.2857
"X43847.24..",0,0.0857,0.0526,0,0,0,0,0,0,0,0.0333,0.1579,0,0.0714,0,0,0,0,0,0.0333,0.0435
"X44123.10..",0.24,0.2857,0.1053,0.5455,0.25,0.1667,0.15,0.1818,0.4,0.2963,0.2,0.35,0.075,0.3571,0.3333,0.3333,0.1471,0.1795,0.1818,0.1667,0.1304
"X44702.64..",0.5217,0.5135,0.4211,0.1,0.4783,0.4643,0.4,0.5909,0.4,0.5185,0.4667,0.55,0.45,0.5714,0.4,0.4444,0.4265,0.5833,0.4545,0.4,0.4737
"X46058.68..",0,0,0,0,0,0,0.1,0.0455,0,0,0,0.05,0,0,0,0.037,0.0147,0.0263,0,0,0.1739
"X47444.37..",0.4167,0.4375,0.2941,0.625,0.4545,0.48,0.3529,0.6667,0.5,0.3478,0.5172,0.3158,0.4737,0.5714,0,0.5,0.4355,0.4211,0.5556,0.5667,0.4783
"X48206.15..",0.1304,0.0938,0.0556,0.0909,0.0435,0.037,0,0,0,0.037,0.0333,0.0625,0.15,0,0.2,0.037,0.0448,0.0857,0,0,0.0526
"X49166.16..",0.08,0.2432,0.3158,0.0909,0.28,0.1333,0,0.2727,0.25,0.1481,0.1667,0.25,0.125,0.4286,0,0.0741,0.0588,0.1538,0.0909,0.1379,0.4348
"X49433.34..",0.4,0.2703,0.0526,0.2727,0.2,0.3333,0.1,0.1818,0.05,0.0741,0.0667,0.1,0.3,0.1429,0,0.037,0.1176,0.1538,0,0.0333,0.087
"X49562.7..",0,0.0882,0.1053,0,0.2381,0,0,0.0909,0.05,0,0.1,0.05,0,0.0714,0.1667,0.0385,0.0588,0.1053,0,0.0333,0.0526
